Не совсем удобен новый сервис - сложно бывает найти платежку, т.к. последние висят столетние, выписку стало не удобно смотреть. В целом старый устраивал больше.;предложение
не очень удобный сайт, старый вид удобнее;эмоции
Есть моменты которые меня не устраивают;эмоции
Прежде всего - если вы просите пройти опрос, то хотя бы ссылку на опрос сделайте активной, чтобы можно было перейти к опросу простым кликом по ссылке в письме. Ну смешно же!Главное, что меня категорически не устраивает в Сбербанк Бизнес Онлайн - это то, что если возникла какая-то проблема с паролем, то после какого-то числа попыток система блокирует вход и начинается АД. Нет, АДИЩЕ: чтобы разблокировать, надо ехать в то отделение банка, где зарегистрирован счет ИП. А если я в другом городе? В другой стране? Люди для того и оплачивают Бизнес-онлайн, чтобы вести дела дистанционно, не бегая в отделение. Ладно бы, если бы можно было пойти в ЛЮБОЕ отделение Сбербанка, в любом городе и написать заявление на разблокировку. Но нет же - мне пришлось из Петербурга ехать в Москву, чтобы написать заявление на разблокировку. Это ад и средневековье. И никакие ваши ссылки на безопасность клиентов вас не оправдывают. Почему я не могла в Петербурге прийти в отделение Сбера, показать паспорт и написать заявление??? Ну и еще: т;эмоции
Только привыкнешь к тому как выглядит все на странице,вы тут же меняете и надо снова привыкать и вникать где что;эмоции
С мобильного приложения я не могу перевести деньги физ. лицу, если он не контрагент. А как внести его в контрагент в этом приложении? !;предложение
Старый интерфейс был более удобным.;эмоции
Сложно формировать выписку по движению денег по счету;предложение
ПоследнееобновлениеСбербанк-ужасный, оченьнеудобен,вернитенамстарый интерфейс....тамвсепонятноипросто.Вам,чтобольшенечемзаняться,каквредитьОООсвоими непродуманнымидействиями.;эмоции
Немного неудобно искать документы, тормозит интерфейс, неудобная выгрузка в 1С;предложение
1. Нет возможности настроить рассылку выписки на электронную почту!!! 2. Скорость работы оставляет желать лучшего 3. Скорость обработки платежек медленная 4. Время обработки платежек лимитировано 8 часовым рабочим днём. 5. Плохая эргономика - чтобы сделать фильтр по контрагенту надо глубоко зарываться в меню. Поиск по наименованию контрагента чувствителен к регистру.;предложение
Не нашел возможности отредактировать существующие шаблоны. Если нет такой функции - плохо, если я не смог ее найти - значит интерфейс не совсем интуитивный.;предложение
Период получения оборотно-сальдовой ведомости сокращен до 3 месяцев. Это неудобно. Просьба оставить минимальный период12 месяцев;предложение
Нет совершенных систем. В любой системе найдется ряд недостатков;эмоции
предыдущая версия была гораздо удобнее;эмоции
На мобильную версию системы со своего смартфонателефона можно нечаянно попасть на счет чужого предприятия. У меня два своих предприятия, при тройном касании при смене предприятия нечаянно открылось третье, а затем четвертое.;эмоции
не всегда платежи уходят быстро.бывает, с утра платеж отправишь, а исполнен он будет после обеда. - долго.;эмоции
