Все работает хорошо, но не получается выгружать платежки из 1С;предложение
Здравствуйте, после изменения интерфейса, не могу закрыть созданный платежный документ (может не вижу конечно) предлагает сразу подписать, тек же неудобно появление надписи 'в том числе НДС', после каждой корректировки документа (3 раза скорректировал 3 раза появляется данная надпись друг за другом) приходится сверять и удалять не нужную, раньше этого не было. В вашем опросе не работают функциональные клавиши Ctrl+, тоже не удобно.;предложение
Новая версия значительно сложнее и запутаннее старой. Выписку по счёту почему-то более чем на квартал запросить вообще нельзя!?;предложение
Совершенно НЕАДЕКВАТНАЯ ЦЕНА (ежемесячная оплата) при обычном интернет - банке, которым пользуюсь не часто! При этом ещё и % при перечислении денег!Я постоянно пользуюсь интернетом и интерне ТВ при этом плачу в несколько раз меньше!;эмоции
неудобный новый интерфейс, нужные функции 'запрятаны', интуитивно ничего не найдешь.;эмоции
В работе программы множество проблем, чтобы банально распечатать выписку за период бывает нужно выйти-зайти в программу, иначе упорно пишет 'отсутствует выписка', хотя все данные есть. И множество других проблем.;эмоции
Предыдущая версия была интуитивно мне более понятна.;эмоции
Работаю с системой КлиентБанк с самого начала работы Интернета. Система всегда работала безупречно. Затем появилсяСбербанк Бизнес Онлайн. К нему тоже претензий не было. Дружественный интерфейс и нормально было работать. Первый звоночек. Открываешь страничку и видишь вчерашний остаток. Пришлось новую привычку вырабатывать. Нажимать кнопку 'обновить'. Это показатель уважения к клиенту. Затем поменялся интерфейс и вообще остаток неправильный стал показываться (из предыдущего дня часть операций отразилась часть нет) Мне посоветовали. Сделать выписку, нажать что-то и подождать15 минут. Возмутительно. В новом интерфейсе пока поймешьсуть задаваемого вопроса.... А ведь я программист по профессии. Рассматриваю варианты смены банка. К менеджерам претензий нет. Стараются и работают вежливо.;эмоции
Все время задержки смс-аутентификацией, иногда приходиться ждать по 30-40 минут. Все время надо менять пароль, это не улучшает защиту, а наоборот снижает, потому что нормальному человеку есть что запомнить кроме ваших бесконечно новых паролей и он их записывает, тем самым вы придумали как сделать пароль максимально доступным для третьих лиц. Вообще не понимаю зачем Вы придумали такой инструмент для работы, если через него можно только пп отправлять и выписки выгружать, а за любым другим действием надо ехать в отделение. Да не просто в любое, а именно в то где открыт счет.;эмоции
Очень долго приходится ждать выписки;эмоции
Слишком дорого.;эмоции
Переход на новую программу был организован просто безобразно. Программа не работала, зависала. При обращении в службу техподдержки ничего не объясняли. Три дня мучилась, пока не появилась возможность перейти на старую версию.;эмоции
нет интеграции с контур эльба;предложение
В целом именно так, а новым интерфейсом вообще недовольны;эмоции
Хотелось бы, чтобы деньги, поступающие на наш р/счет зачислялись в этот же день и в выходные/праздничные дни, что позволило бы вовремя производить расчеты с поставщиками и арендодателем. В настоящее время, когда покупатели частенько расплачиваются по картам исроки платежей выпадают на выходные, нам приходиться искать деньги 'на стороне', чтобы не нарушить условия договоров и соблюдать сроки оплаты. Кроме того, я считаю, что сумма за ежемесячное банковское обслуживание р/счета ИП стало дороговато - 1600 руб., за 1,5-2 года сумма выросла на 400 руб. и, видимо, будет расти дальше... В других банках данная услуга - от 900 до 1200 руб., причем условия те же...;эмоции
В новом интерфейсе бизнес онлайн ,лично мне сложно работать , а вернуться в старый , мне сказали ,что программа не позволяет. В той программе было все просто и понятно.;эмоции
Иногда очень долго происходит проверка платежа. Пример: 17.08 произведен платеж через сбербанк онлайн телефона на сумму 1500 р , платеж произведен в 9.15 по состоянию на 18.07 время 13.32 деньги не поступили на счет телефона. На все вопросы опрераторы отвечают что производится проверка (от 15 мин до 3 дней) Вопрос6 что так долго проверяет система?;эмоции
Временами система подвисает.;эмоции
Не устраивает новая версия системы. Неудобная.;эмоции
очень много инструкций, написанных малопонятно нет шаблонов для предоставления в Банк (заявление на получение пароля, доверенность...) некоторая сложность врасподписании документов - писем в Банк, например - нужно 2подписи;предложение
