sentences;prediction;Y
здравствуйте, после изменения интерфейса, не могу закрыть созданный платежный документ (может не вижу конечно) предлагает сразу подписать, тек же неудобно появление надписи 'в том числе ндс', после каждой корректировки документа (3 раза скорректировал 3 раза появляется данная надпись друг за другом) приходится сверять и удалять не нужную, раньше этого не было. в вашем опросе не работают функциональные клавиши ctrl+, тоже не удобно.;1;предложение
новая версия значительно сложнее и запутаннее старой. выписку по счёту почему-то более чем на квартал запросить вообще нельзя!?;1;предложение
совершенно неадекватная цена (ежемесячная оплата) при обычном интернет - банке, которым пользуюсь не часто! при этом ещё и % при перечислении денег!я постоянно пользуюсь интернетом и интерне тв при этом плачу в несколько раз меньше!;0;эмоции
неудобный новый интерфейс, нужные функции 'запрятаны', интуитивно ничего не найдешь.;0;эмоции
в работе программы множество проблем, чтобы банально распечатать выписку за период бывает нужно выйти-зайти в программу, иначе упорно пишет 'отсутствует выписка', хотя все данные есть. и множество других проблем.;0;эмоции
предыдущая версия была интуитивно мне более понятна.;0;эмоции
работаю с системой клиентбанк с самого начала работы интернета. система всегда работала безупречно. затем появилсясбербанк бизнес онлайн. к нему тоже претензий не было. дружественный интерфейс и нормально было работать. первый звоночек. открываешь страничку и видишь вчерашний остаток. пришлось новую привычку вырабатывать. нажимать кнопку 'обновить'. это показатель уважения к клиенту. затем поменялся интерфейс и вообще остаток неправильный стал показываться (из предыдущего дня часть операций отразилась часть нет) мне посоветовали. сделать выписку, нажать что-то и подождать15 минут. возмутительно. в новом интерфейсе пока поймешьсуть задаваемого вопроса.... а ведь я программист по профессии. рассматриваю варианты смены банка. к менеджерам претензий нет. стараются и работают вежливо.;0;эмоции
все время задержки смс-аутентификацией, иногда приходиться ждать по 30-40 минут. все время надо менять пароль, это не улучшает защиту, а наоборот снижает, потому что нормальному человеку есть что запомнить кроме ваших бесконечно новых паролей и он их записывает, тем самым вы придумали как сделать пароль максимально доступным для третьих лиц. вообще не понимаю зачем вы придумали такой инструмент для работы, если через него можно только пп отправлять и выписки выгружать, а за любым другим действием надо ехать в отделение. да не просто в любое, а именно в то где открыт счет.;0;эмоции
очень долго приходится ждать выписки;0;эмоции
слишком дорого.;0;эмоции
переход на новую программу был организован просто безобразно. программа не работала, зависала. при обращении в службу техподдержки ничего не объясняли. три дня мучилась, пока не появилась возможность перейти на старую версию.;0;эмоции
нет интеграции с контур эльба;1;предложение
в целом именно так, а новым интерфейсом вообще недовольны;0;эмоции
хотелось бы, чтобы деньги, поступающие на наш р/счет зачислялись в этот же день и в выходные/праздничные дни, что позволило бы вовремя производить расчеты с поставщиками и арендодателем. в настоящее время, когда покупатели частенько расплачиваются по картам исроки платежей выпадают на выходные, нам приходиться искать деньги 'на стороне', чтобы не нарушить условия договоров и соблюдать сроки оплаты. кроме того, я считаю, что сумма за ежемесячное банковское обслуживание р/счета ип стало дороговато - 1600 руб., за 1,5-2 года сумма выросла на 400 руб. и, видимо, будет расти дальше... в других банках данная услуга - от 900 до 1200 руб., причем условия те же...;0;эмоции
в новом интерфейсе бизнес онлайн ,лично мне сложно работать , а вернуться в старый , мне сказали ,что программа не позволяет. в той программе было все просто и понятно.;0;эмоции
иногда очень долго происходит проверка платежа. пример: 17.08 произведен платеж через сбербанк онлайн телефона на сумму 1500 р , платеж произведен в 9.15 по состоянию на 18.07 время 13.32 деньги не поступили на счет телефона. на все вопросы опрераторы отвечают что производится проверка (от 15 мин до 3 дней) вопрос6 что так долго проверяет система?;0;эмоции
временами система подвисает.;0;эмоции
не устраивает новая версия системы. неудобная.;0;эмоции
очень много инструкций, написанных малопонятно нет шаблонов для предоставления в банк (заявление на получение пароля, доверенность...) некоторая сложность врасподписании документов - писем в банк, например - нужно 2подписи;1;предложение
невозможно пользоваться старыми шаблонами. при использовании шаблона нет возможности менять какие-либо поля, кроме суммы. при создании платежного поручения система требует указания кпп для ип и !!! физических лиц!!!;1;предложение
больше всего не нравится медленная работа приложения особенно нового (при загрузке) и очень хотелось бы иметь возможность подписывать одновременно несколько пп;1;предложение
не использую ее функционал полностью, нет необходимости, по этому не знаю все возможности системы;0;эмоции
новый дизайн , очень плохо;0;эмоции
отвратительное юзабилити всего приложения. описать все проблемы - спроектировать с нуля.;0;эмоции
сложно привыкнуть кработе с новым интерфейсом. невозможно выгрузить выписку за более длительный период, только 100 дней - этого не хватает для бухгалтерии.;1;предложение
есть некоторые неудобства и трудности.;0;эмоции
навязываются сервисы, которые организациями не используются. плохо проводятся платежные поручения. без звонка в банк не проводятся п/п по внутренним займам и перемещениям, при наличии собственных д/с на р/с.отвергаются платежи отправленные в банк до 16.30.нельзя изменить статус отвергнутого документа. неудобный интерфейс для работы с большим количеством документов (подпись и отправка п/п). нет просмотра всех операций по р/с.;0;эмоции
это скорее моя оценка, а не ваша. потому что, я не всегда понимаю юридических терминов в меню. их много.;0;эмоции
главное неудобство связано с тем, что на странице отражается не достоверный остаток денежных средств на счете. расходы по расчетам с банковской с картой отражаются не своевременно. в связи с этим, для получения достоверной информации приходится проверять баланс в банкомате с помощью карты. 2. списание денежных средств со счета происходит оперативно в момент совершения операции, а зачисление доходов в выходные с задержкой в 3 дня.;0;эмоции
не знаю как можно подписывать в системе сразу несколько документов. новый дизайн - полное уродство, малофункциональное и малопонятное.;0;эмоции
в нерабочие дни, деньги невозможно перевести. на новогодние праздники деньги ждала 10 дней. именно по этому так оценила работу бизнес онлайн;0;эмоции
1. выписка распечатывается сразу за месяц. надо, чтобы выписка за месяц формировалась с разбиением по дням с указанием сальдо на начало и конец дня. так удобнее искать ошибки, если в бухучете сальдо не совпадает с банковской выпиской. 2. невозможно установить фильтр так, чтобы при входе выписки с нулевыми оборотами не отображались. каждый раз приходится устанавливать фильтр. 3. невозможно настроить адрес загрузки п/п и выгрузки выписок. каждый раз надо указывать путь. 4. было бы удобнее, если бы выписки по валютным счетам выгружались так же как по рублёвым.;1;предложение
новое программное обеспечение не отвечает всем потребностям так невозможно посмотреть историю операций более чем на 100 дней. в старой версии можно было просмотреть всю историю операций.;1;предложение
