feature;weight
контрагентов;1.3326627146044352
поиска;1.2877765070562335
выгрузки;1.261710153253787
увидеть;1.261710153253787
фильтр;1.261710153253787
сначала;1.261710153253787
печать;1.261710153253787
форма;1.261710153253787
контрагенту;1.261710153253787
выписок;1.254865020936953
поиск;1.2507153964497968
работе;1.2503111556246087
неудобный;1.2503111556246087
именно;1.2494416583081525
старому;1.2494416583081525
интерфейсу;1.2494416583081525
старая;1.2473201961954785
потом;1.2365279530140352
платежек;1.2365279530140352
отправки;1.2322104762595398
писем;1.2322104762595398
выгрузить;1.2322104762595398
список;1.2322104762595398
почту;1.2322104762595398
адрес;1.2322104762595398
сохранить;1.2322104762595398
вместо;1.2322104762595398
контрагента;1.2293429288203774
будет;1.2276689894728106
удобней;1.2276689894728106
слишком;1.208495152088098
